Start Date,End Date,Event Name,Category (CD / CD Classic / Raid / Mega / Shadow Raid / Spotlight / Research / Other)
2025-08-25,2025-08-25,XP Celebration,Event/News
2025-08-28,2025-08-28,Events,Event/News
2025-09-02,2025-09-02,Current Field Research,Research
2025-09-02,2025-09-02,GO Pass: September,Event/News
2025-09-02,2025-09-02,Tales of Transformation,Event/News
2025-09-07,2025-09-07,Trade Days | Tales of Transformation,Event/News
2025-09-23,2025-09-23,Dialga in 5-star Raid Battles,Raid/Mega
2025-09-23,2025-09-23,Raid Hours,Raid/Mega
2025-09-29,2025-09-29,Steel-type PokéStop Showcases,Event/News
2025-09-29,2025-09-29,Dynamax Beldum during Max Monday,Event/News
2025-09-30,2025-09-30,"Mega Steelix, Scizor, and Lucario in Mega Raids",Raid/Mega
2025-09-30,2025-09-30,Great League and Fantasy Cup: Great League Edition | Tales of Transformation,Event/News
2025-09-30,2025-09-30,Great League,Event/News
2025-09-30,2025-09-30,Steel Skyline,Event/News
2025-10-01,2025-10-01,Dialga (Origin Forme) Raid Hour,Raid/Mega
2025-10-04,2025-10-04,Mega Metagross Raid Day,Raid/Mega
2025-10-06,2025-10-06,Dynamax Drilbur during Max Monday,Event/News
2025-10-07,2025-10-07,Ferroseed Spotlight Hour,Event/News
2025-10-07,2025-10-07,Deoxys (Normal & Defense Forme) in 5-star Raid Battles,Raid/Mega
2025-10-07,2025-10-07,Raid Hours,Raid/Mega
2025-10-07,2025-10-07,"Mega Sceptile, Mega Blaziken, and Mega Swampert in Mega Raids",Raid/Mega
2025-10-07,2025-10-07,GO Pass: October,Event/News
2025-10-08,2025-10-08,Deoxys (Normal & Defense Forme) Raid Hour,Raid/Mega
2025-10-10,2025-10-10,Harvest Festival,Event/News
2025-10-12,2025-10-12,Solosis Community Day,Event/News
2025-10-13,2025-10-13,Dynamax Bounsweet during Max Monday,Event/News
2025-10-14,2025-10-14,Petilil Spotlight Hour,Event/News
2025-10-14,2025-10-14,Deoxys (Attack & Speed Forme) in 5-star Raid Battles,Raid/Mega
2025-10-14,2025-10-14,Raid Hours,Raid/Mega
2025-10-14,2025-10-14,Mega Mawile and Mega Salamence in Mega Raids,Raid/Mega
2025-10-14,2025-10-14,Master Premier and Great League Remix | Tales of Transformation,Event/News
2025-10-14,2025-10-14,Master Premier,Event/News
2025-10-15,2025-10-15,Deoxys (Attack & Speed Forme) Raid Hour,Raid/Mega
2025-10-16,2025-10-16,Pokémon Legends: Z-A Celebration Event,Event/News
2025-10-18,2025-10-18,Mega Rayquaza Raid Day,Raid/Mega
2025-10-20,2025-10-20,Dynamax Gastly during Max Monday,Event/News
2025-10-21,2025-10-21,Gastly Spotlight Hour,Event/News
2025-10-21,2025-10-21,Halloween 2025 Part I,Event/News
2025-10-21,2025-10-21,Genesect (Douse & Shock Drive) in 5-star Raid Battles,Raid/Mega
2025-10-21,2025-10-21,Raid Hours,Raid/Mega
2025-10-21,2025-10-21,Mega Houndoom and Mega Absol in Mega Raids,Raid/Mega
2025-10-22,2025-10-22,Genesect Raid Hour,Raid/Mega
2025-10-25,2025-10-25,GO Battle Weekend: Tales of Transformation,Event/News
2025-10-27,2025-10-27,Dynamax Woobat during Max Monday,Event/News
2025-10-27,2025-10-27,Halloween 2025 Part II,Event/News
2025-10-28,2025-10-28,Sinistea Spotlight Hour,Event/News
2025-10-28,2025-10-28,Giratina (Altered Forme) in 5-star Raid Battles,Raid/Mega
2025-10-28,2025-10-28,Raid Hours,Raid/Mega
2025-10-28,2025-10-28,"Mega Gengar, Mega Sableye, and Mega Banette in Mega Raids",Raid/Mega
2025-10-28,2025-10-28,Great League and Halloween Cup: Great League Edition | Tales of Transformation,Event/News
2025-10-28,2025-10-28,Great League,Event/News
2025-10-29,2025-10-29,Giratina (Origin Forme) Raid Hour,Raid/Mega
2025-11-04,2025-11-04,Ultra League and Jungle Cup: Great League Edition | Tales of Transformation,Event/News
2025-11-04,2025-11-04,Ultra League,Event/News
2025-11-04,2025-11-04,Ultra League and Jungle Cup: Great League Edition | Tales of Transformation,Event/News
2025-11-04,2025-11-04,Ultra League,Event/News
2025-11-09,2025-11-09,Pokémon GO Wild Area: Nagasaki,Event/News
2025-11-11,2025-11-11,"Great League, Ultra League, and Master League | Tales of Transformation",Event/News
2025-11-11,2025-11-11,Great League,Event/News
2025-11-11,2025-11-11,"Great League, Ultra League, and Master League | Tales of Transformation",Event/News
2025-11-11,2025-11-11,Great League,Event/News
2025-11-15,2025-11-15,Pokémon GO Wild Area: Global,Event/News
2025-11-18,2025-11-18,2025 Championship Series Cup and Master League: Mega Edition | Tales of Transformation,Raid/Mega
2025-11-18,2025-11-18,2025 Championship Series Cup,Event/News
2025-11-25,2025-11-25,"Catch Cup: Tales of Transformation: Great Edition, Ultra League, and Master League | Tales of Transformation",Event/News
